path,file,count
Source/WebCore/rendering,RenderView.h,97
Source/WebCore/loader,DocumentLoader.h,97
Source/WebCore/page,Settings.cpp,97
Source/WebCore/html,HTMLCanvasElement.cpp,97
Source/WebCore/rendering,RenderBox.h,96
Source/WebCore/inspector,InspectorController.cpp,96
Source/WebCore/platform/graphics,GraphicsLayer.cpp,96
Source/WebKit/chromium/src,WebMediaPlayerClientImpl.cpp,95
Source/WebCore/inspector,InspectorInstrumentation.cpp,95
Source/WebCore/editing,markup.cpp,95
Source/WebCore/html/shadow,MediaControlElements.cpp,95
Source/WebCore/css,CSSPrimitiveValueMappings.h,94
Source/WebCore/html,HTMLPlugInElement.cpp,94
Source/core/inspector,InspectorInstrumentation.idl,93
Source/WebCore/html,TextFieldInputType.cpp,93
Source/WebCore/bindings/scripts/test/V8,V8TestException.cpp,93
Source/bindings/v8,V8WindowShell.cpp,92
Source/WebCore/loader,HistoryController.cpp,92
Source/WebCore/rendering,RenderImage.cpp,91
Source/WebCore/page,FocusController.cpp,91
Source/WebCore/html,HTMLTextAreaElement.cpp,90
Source/WebCore/dom,Range.cpp,90
Source/WebCore/page,EventHandler.h,89
Source/WebCore/svg,SVGUseElement.cpp,89
Source/WebCore/html,HTMLTextFormControlElement.cpp,88
Source/WebCore/html,HTMLFormControlElement.cpp,88
Source/WebKit/win/Interfaces,DOMWindow.idl,87
Source/WebCore/inspector,InspectorTimelineAgent.h,87
Source/core/css/parser,BisonCSSParser-in.cpp,87
Source/WebCore/css,CSSPrimitiveValue.cpp,87
Source/WebCore/bindings/tests/results,V8TestOverloadedConstructors.cpp,87
Source/WebCore/rendering,RenderGrid.cpp,87
Source/WebCore/css,StyleSheetContents.cpp,85
Source/WebCore/css,RuleSet.cpp,84
Source/heap,HeapTest.cpp,84
Source/WebCore/bindings/js,ScriptDebugServer.cpp,84
Source/WebCore/Modules/websockets,WebSocket.cpp,82
Source/WebCore/platform,ScrollView.cpp,82
Source/WebCore/dom,Text.cpp,82
Source/WebCore/dom,TreeScope.cpp,82
Source/WebCore/bindings/tests/results,V8TestNamedConstructor.cpp,82
Source/WebCore/editing,TextIterator.cpp,81
Source/WebCore/bindings/v8,V8Initializer.cpp,81
Source/WebCore/bindings/tests/results,V8TestInterface.h,81
Source/core/dom,StyleEngine.cpp,81
Source/WebCore/loader/cache,MemoryCache.cpp,80
Source/WebCore/page,Frame.h,80
Source/WebCore/page,Settings.h,80
Source/WebCore/html,BaseMultipleFieldsDateAndTimeInputType.cpp,80
Source/WebCore/html,HTMLImageElement.cpp,80
Source/WebCore/rendering,RenderListBox.cpp,80
Source/WebCore/dom,DocumentStyleSheetCollection.cpp,79
Source/WebCore/bindings/tests/results,V8Float64Array.cpp,79
Source/WebKit/chromium/src,WebKit.cpp,79
Source/WebKit/chromium/src,ChromeClientImpl.h,79
Source/WebCore/html/track,TextTrackCue.cpp,79
Source/WebCore/css,StylePropertySet.cpp,78
Source/WebCore/testing,InternalSettings.cpp,78
Source/heap,Handle.h,78
Source/WebCore/css,CSSFontSelector.cpp,78
Source/WebCore/platform/graphics/gpu,DrawingBuffer.cpp,78
Source/WebCore/ForwardingHeaders/heap,Heap.h,78
Source/WebCore/platform/graphics,GraphicsLayer.h,78
Source/WebCore/editing,EditorCommand.cpp,77
Source/WebCore/bindings/tests/results,V8TestActiveDOMObject.cpp,77
Source/WebCore/inspector,InspectorPageAgent.h,77
Source/WebCore/page/animation,CSSPropertyAnimation.cpp,77
Source/WebCore/page,Chrome.cpp,77
Source/WebCore/inspector,InspectorInstrumentation.h,77
Source/WebCore/rendering,RenderInline.cpp,77
Source/WebCore/bindings/scripts/test/V8,V8TestSerializedScriptValueInterface.cpp,77
Source/WebCore/rendering,RenderTable.cpp,77
Source/WebCore/svg,SVGElement.h,76
Source/WebCore/rendering,TextAutosizer.cpp,76
Source/core/css,CSSStyleSheet.cpp,75
Source/WebCore/inspector,InspectorDebuggerAgent.cpp,75
Source/WebCore/css,ElementRuleCollector.cpp,75
Source/WebKit/chromium/src,WebDevToolsAgentImpl.cpp,75
Source/WebCore/rendering,RenderTableSection.cpp,75
Source/WebCore/accessibility,AXObjectCache.cpp,74
Source/bindings/v8,V8GCController.cpp,74
Source/WebCore/html,InputType.h,74
Source/WebCore/inspector,InspectorFrontendHost.cpp,74
Source/WebKit2/UIProcess/API/gtk/tests,WebViewTest.cpp,73
Source/core/editing,htmlediting.cpp,73
Source/WebCore/editing,ApplyStyleCommand.cpp,72
Source/core/editing,EditingStyle.cpp,72
Source/WebCore/editing,ReplaceSelectionCommand.cpp,72
Source/WebKit/blackberry/Api,WebSettings.h,72
Source/WebCore/editing,CompositeEditCommand.cpp,72
Source/WebCore/html/canvas,WebGLRenderingContext.h,72
Source/WebCore/svg,SVGAElement.cpp,72
Source/WebCore/svg/animation,SVGSMILElement.cpp,72
Source/WebCore/rendering,RenderThemeChromiumMac.mm,71
Source/core/page,Window.idl,71
Source/WebKit/chromium/src,WebSettingsImpl.h,71
Source/WebCore/dom,DOMImplementation.cpp,71
Source/WebCore/inspector,InspectorCSSAgent.h,70
Source/WebCore/rendering,RenderMenuList.cpp,70
Source/WebCore/bindings/js,Dictionary.cpp,70
Source/WebCore/rendering,RenderEmbeddedObject.cpp,70
Source/WebCore/loader,DocumentThreadableLoader.cpp,70
Source/core/css,ScopedStyleResolver.cpp,70
Source/wtf,PartitionAllocTest.cpp,69
Source/WebCore/inspector,InspectorFileSystemAgent.cpp,69
Source/WebCore/bindings/tests/results,V8TestEventConstructor.cpp,69
Source/WebCore/platform/animation,Animation.cpp,69
Source/WebCore/loader/cache,CachedResourceLoader.cpp,69
Source/WebCore/rendering,RenderTreeAsText.cpp,69
Source/bindings/tests/idls,TestObject.idl,69
Source/WebCore/bindings/v8/custom,V8XMLHttpRequestCustom.cpp,69
Source/bindings/templates,interface_base.cpp,68
Source/core/css,FontFaceSet.cpp,68
Source/WTF/wtf/text,StringImpl.h,68
Source/core/loader/cache,Resource.cpp,68
Source/WebCore/page,PageSerializer.cpp,68
Source/WebCore/bindings/generic,RuntimeEnabledFeatures.cpp,67
Source/WebCore/rendering/svg,RenderSVGRoot.cpp,67
Source/bindings/tests/results,V8TestInterfaceImplementedAs.cpp,67
Source/WebCore/bindings/v8,V8PerIsolateData.cpp,67
Source/WebCore/page,EventSource.cpp,67
Source/core/dom,ElementShadow.cpp,67
Source/WebCore/xml,XMLHttpRequest.h,67
Source/WebCore/platform/graphics,MediaPlayer.h,67
Source/core/rendering,FastTextAutosizer.cpp,66
Source/wtf,PartitionAlloc.cpp,66
Source/WebCore/html,HTMLDialogElement.cpp,66
Source/core/workers,WorkerGlobalScope.cpp,66
Source/WebCore/editing,VisibleUnits.cpp,66
Source/core/platform/graphics/chromium,Canvas2DLayerBridge.cpp,66
Source/WebCore/bindings/generic,RuntimeEnabledFeatures.h,66
Source/WebKit/chromium/src,EditorClientImpl.cpp,65
Source/WebCore/rendering,HitTestResult.cpp,65
Source/WebCore/html,HTMLPlugInImageElement.cpp,65
Source/WebCore/css,RuleFeature.cpp,65
Source/WebCore/editing,Editor.h,65
Source/WebCore/html,FileInputType.cpp,65
Source/WTF/wtf,Vector.h,64
Source/WebCore/inspector,InspectorLayerTreeAgent.cpp,64
Source/core/loader,ImageLoader.cpp,64
Source/core/css,StyleResolverState.h,64
Source/core/tests,DocumentTimeline.cpp,64
Source/WebCore/html,HTMLFormElement.h,64
Source/WebCore/css,MediaQueryEvaluator.cpp,64
Source/WebCore/rendering,RenderWidget.cpp,64
Source/WebCore/Modules/mediastream,RTCPeerConnection.cpp,64
Source/WebCore/css,CSSPrimitiveValue.h,64
Source/WebKit/chromium/src,ContextMenuClientImpl.cpp,64
Source/WebCore/bindings/v8/custom,V8InjectedScriptHostCustom.cpp,63
Source/bindings/templates,interface.h,63
Source/WebCore/html,ImageDocument.cpp,63
Source/WebCore/html,HTMLCollection.cpp,63
Source/WebCore/platform/graphics,ImageBuffer.cpp,63
Source/WebCore/html,HTMLVideoElement.cpp,63
Source/bindings/tests/results,V8TestInterfacePython.cpp,63
Source/WebCore/html,HTMLFrameElementBase.cpp,62
Source/WebCore/html,HTMLOptionElement.cpp,62
Source/WebCore/css,CSSSelector.cpp,62
Source/core/rendering,RenderBlockFlow.h,62
Source/WebCore/bindings/tests/results,V8TestEventTarget.h,62
Source/core/rendering,CompositedLayerMapping.h,62
Source/WebKit/chromium/public,WebRuntimeFeatures.h,62
Source/WebCore/bindings/scripts/test/V8,V8TestMediaQueryListListener.cpp,61
Source/bindings/tests/results,V8TestInterfaceEventConstructor.cpp,61
Source/core/html,HTMLImportsController.cpp,61
Source/WebCore/rendering/svg,SVGInlineTextBox.cpp,61
Source/WebCore/html/canvas,CanvasRenderingContext2D.h,60
Source/WebCore/loader,NavigationScheduler.cpp,60
Source/WebCore/loader,EmptyClients.cpp,60
Source/bindings/tests/results,V8TestCustomAccessors.cpp,60
Source/core/css/parser,CSSPropertyParser.cpp,60
Source/wtf,PartitionAlloc.h,59
Source/WebCore/platform/graphics,GraphicsContext3D.cpp,59
Source/bindings/v8/custom,V8PromiseCustom.cpp,59
Source/modules/websockets,MainThreadWebSocketChannel.cpp,59
Source/WebCore/inspector,InspectorStyleSheet.h,59
Source/WebCore/dom,EventTarget.cpp,59
Source/WebCore/loader/cache,CachedResource.cpp,59
Source/WebCore/rendering/svg,RenderSVGResourceFilter.cpp,59
Source/WebCore/rendering/style,RenderStyleConstants.h,59
Source/bindings/v8,CustomElementConstructorBuilder.cpp,59
Source/WebCore/bindings/tests/results,V8TestNode.h,58
Source/WebCore/rendering,RenderTextControlSingleLine.cpp,58
Source/WebCore/inspector,InspectorIndexedDBAgent.cpp,58
Source/WebCore/dom,Node.idl,58
Source/WebCore/html,HTMLLinkElement.h,58
Source/WebCore/editing,DeleteSelectionCommand.cpp,58
Source/core/page,RuntimeCSSEnabled.cpp,57
Source/core/html/shadow,TextControlInnerElements.cpp,57
Source/WebCore/platform,ScrollView.h,57
Source/WebCore/html,HTMLFrameSetElement.cpp,57
Source/WebCore/Modules/webaudio,AudioContext.cpp,57
Source/ThirdParty/gyp/test/win/rc-build,Resource.h,57
Source/WebCore/html,HTMLBodyElement.cpp,57
Source/bindings/tests/results,V8TestObject.h,57
Source/WebCore/dom,ContainerNode.h,57
Source/WebCore/html/parser,HTMLConstructionSite.cpp,57
Source/WebCore/platform/graphics,ImageBuffer.h,57
Source/WebCore/rendering,RenderFrameSet.cpp,57
Source/WebCore/bindings/tests/results,V8TestTypedefs.h,56
Source/WebCore/bindings/js,DOMWrapperWorld.cpp,56
